aqfr_cd,AQFR_Name_caps,Aqfr_Name_prpr
100CNZC,CENOZOIC ERATHEM,Cenozoic Erathem
110NRSD,NONARTESIAN SAND AQUIFER,Nonartesian Sand Aquifer
110SAQS,SURFICIAL AQUIFER SYSTEM,Surficial Aquifer System
111HCPC,HOLOCENE-PLEISTOCENE SERIES,Holocene-Pleistocene Series
111NRSD,NONARTESIAN SAND AQUIFER,Nonartesian Sand Aquifer
112ANSS,ANASTASIA FORMATION,Anastasia Formation
112BSCNN,BISCAYNE LIMESTONE AQUIFER,Biscayne Limestone Aquifer
112BSCNS,BISCAYNE SANDY LIMESTONE AQUIFER,Biscayne Sandy Limestone Aquifer
112CLSC,CALOOSAHATCHEE AQUIFER,Caloosahatchee Aquifer
112CLSCR,CALOOSAHATCHEE FORMATION,Caloosahatchee Formation
112CQUN,COQUINA AQUIFER,Coquina Aquifer
112FTMP,FORT THOMPSON FORMATION,Fort Thompson Formation
112KLRG,KEY LARGO LIMESTONE,Key Largo Limestone
112LMSN,LIMESTONE AQUIFER,Limestone Aquifer
112MIMI,MIAMI OOLITE,Miami Oolite
112NRSD,NONARTESIAN SAND AQUIFER,Nonartesian Sand Aquifer
112PLSC,PLEISTOCENE SERIES,Pleistocene Series
112PMLC,PAMLICO FORMATION,Pamlico Formation
112SAND,SAND AQUIFER,Sand Aquifer
112SDGV,SAND AND GRAVEL AQUIFER,Sand And Gravel Aquifer
112SNDS,SANDSTONE AQUIFER,Sandstone Aquifer
112TCMR,"TERRACE DEPOSITS,MARINE","Terrace Deposits,Marine"
120FLRD,FLORIDAN AQUIFER,Floridan Aquifer
120NFSG,NORTHWESTERN FLORIDA SAND-AND-GRAVEL AQUIFER,Northwestern Florida Sand-And-Gravel Aquifer
120NRSD,NONARTESIAN SAND AQUIFER,Nonartesian Sand Aquifer
120TRTR,TERTIARY SYSTEM,Tertiary System
120UFAQ,UPPER FLORIDAN AQUIFER,Upper Floridan Aquifer
121IAQS,INTERMEDIATE AQUIFER SYSTEM,Intermediate Aquifer System
121PCPC,PLEISTOCENE-PLIOCENE SERIES,Pleistocene-Pliocene Series
121PLCN,PLIOCENE SERIES,Pliocene Series
121TMIM,TAMIAMI FORMATION,Tamiami Formation
122BNVL,BONE VALLEY FORMATION,Bone Valley Formation
122ECMB,ESCAMBIA SAND MEMBER OF PENSACOLA CLAY,Escambia Sand Member Of Pensacola Clay
122FRPR,FORT PRESTON FORMATION,Fort Preston Formation
122HTRN,HAWTHORN FORMATION,Hawthorn Formation
122HTRNN,HAWTHORN LIMESTONE AQUIFER,Hawthorn Limestone Aquifer
122HTRNS,HAWTHORN SAND AND GRAVEL AQUIFER,Hawthorn Sand And Gravel Aquifer
122ICGU,INTERMEDIATE CONFINING UNIT,Intermediate Confining Unit
122LMSN,LIMESTONE AQUIFER,Limestone Aquifer
122MOCN,MIOCENE SERIES,Miocene Series
122MOCNU,UPPER MIOCENE SERIES,Upper Miocene Series
122PSCL,PENSACOLA CLAY,Pensacola Clay
122PSCLL,"PENSACOLA CLAY,LOWER MEMBER","Pensacola Clay,Lower Member"
122PSCLU,"PENSACOLA CLAY,UPPER MEMBER","Pensacola Clay,Upper Member"
122SDGV,SAND AND GRAVEL AQUIFER,Sand And Gravel Aquifer
122SLML,SHELL-MARL AQUIFER,Shell-Marl Aquifer
122SMRK,ST. MARKS FORMATION,St. Marks Formation
122SNDS,SANDSTONE AQUIFER,Sandstone Aquifer
122TAMP,TAMPA LIMESTONE,Tampa Limestone
122TMIM,TAMIAMI FORMATION,Tamiami Formation
122TMIMN,"TAMIAMI FORMATION,LIMESTONE AQUIFER","Tamiami Formation,Limestone Aquifer"
122TMIMR,"TAMIAMI FORMATION,SHELL-MARL AQUIFER","Tamiami Formation,Shell-Marl Aquifer"
123BCTN,BUCATUNNA CLAY MEMBER OF BYRAM FORMATION,Bucatunna Clay Member Of Byram Formation
123LMSN,LIMESTONE AQUIFER,Limestone Aquifer
123OLGC,OLIGOCENE SERIES,Oligocene Series
123SWNN,SUWANNEE LIMESTONE,Suwannee Limestone
124AVPK,AVON PARK LIMESTONE,Avon Park Limestone
124CLBR,CLAIBORNE GROUP,Claiborne Group
124CLRV,CRYSTAL RIVER FORMATION,Crystal River Formation
124EOCN,EOCENE SERIES,Eocene Series
124IGLS,INGLIS FORMATION,Inglis Formation
124LKCT,LAKE CITY LIMESTONE,Lake City Limestone
124LSBN,LISBON FORMATION,Lisbon Formation
124OCAL,OCALA GROUP,Ocala Group
124OCALL,"OCALA LIMESTONE,LOWER MEMBER","Ocala Limestone,Lower Member"
124OCALN,OCALA LIMESTONE,Ocala Limestone
124OCALU,"OCALA LIMESTONE,UPPER MEMBER","Ocala Limestone,Upper Member"
124OLDM,OLDSMAR LIMESTONE,Oldsmar Limestone
124OLDMN,OLDSMAR LIMESTONE AQUIFER,Oldsmar Limestone Aquifer
124WLSN,WILLISTON FORMATION,Williston Formation
125CDRK,CEDAR KEYS LIMESTONE,Cedar Keys Limestone
125CDRKN,CEDAR KEYS LIMESTONE AQUIFER,Cedar Keys Limestone Aquifer
125PLCN,PALEOCENE SERIES,Paleocene Series
200MSZC,MESOZOIC ERATHEM,Mesozoic Erathem
210FPRC,FORT PIERCE FORMATION,Fort Pierce Formation
211CRCSU,UPPER CRETACEOUS SERIES,Upper Cretaceous Series
211LWSN,LAWSON LIMESTONE,Lawson Limestone
211TYLR,TAYLOR GROUP,Taylor Group
217CRCSL,LOWER CRETACEOUS SERIES,Lower Cretaceous Series
217FKBG,FREDERICKSBURG GROUP,Fredericksburg Group
217SNLD,SUNNILAND LIMESTONE,Sunniland Limestone
217TRNT,TRINITY GROUP,Trinity Group
217TRNTL,LOWER TRINITY,Lower Trinity
217WSHT,WASHITA GROUP,Washita Group
221JRSCU,UPPER CRETACEOUS SERIES,Upper Cretaceous Series
400GRNT,PRECAMBRIAN GRANITE,Precambrian Granite
BASEMENT,BASEMENT,Basement
BEDROCK,BEDROCK,Bedrock
